id,audio,whisper_text,correct_text,created_at
20260824_185910_81badbab,C:/Users/User/Desktop/kiosk_project/kiosk_training_data/audio/20260824_185910_81badbab.webm,케이크 하나 줘,,2026-08-24T18:59:10
20260824_185918_8dbb01b3,C:/Users/User/Desktop/kiosk_project/kiosk_training_data/audio/20260824_185918_8dbb01b3.webm,케이크 케이크 아이스크림 뭐지?,,2026-08-24T18:59:18
20260824_190102_43705da8,C:/Users/User/Desktop/kiosk_project/kiosk_training_data/audio/20260824_190102_43705da8.webm,불고기버거 하나 주세요,,2026-08-24T19:01:02
20260824_190118_3d8244d7,C:/Users/User/Desktop/kiosk_project/kiosk_training_data/audio/20260824_190118_3d8244d7.webm,이전 화면,,2026-08-24T19:01:18
20260824_190131_149f226e,C:/Users/User/Desktop/kiosk_project/kiosk_training_data/audio/20260824_190131_149f226e.webm,안녕,,2026-08-24T19:01:31
20260824_190138_5e290eab,C:/Users/User/Desktop/kiosk_project/kiosk_training_data/audio/20260824_190138_5e290eab.webm,아니요,,2026-08-24T19:01:38
20260824_190148_d4d2bd61,C:/Users/User/Desktop/kiosk_project/kiosk_training_data/audio/20260824_190148_d4d2bd61.webm,이전 화면,,2026-08-24T19:01:48
20260824_190215_7aeee4f0,C:/Users/User/Desktop/kiosk_project/kiosk_training_data/audio/20260824_190215_7aeee4f0.webm,여기서 메뉴 케이크 인식으로 주세요,,2026-08-24T19:02:15
20260824_190229_db852b0d,C:/Users/User/Desktop/kiosk_project/kiosk_training_data/audio/20260824_190229_db852b0d.webm,아니요,,2026-08-24T19:02:29
20260824_190239_c618d9c3,C:/Users/User/Desktop/kiosk_project/kiosk_training_data/audio/20260824_190239_c618d9c3.webm,처음으로,,2026-08-24T19:02:39
20260824_190252_984fb8d3,C:/Users/User/Desktop/kiosk_project/kiosk_training_data/audio/20260824_190252_984fb8d3.webm,네,,2026-08-24T19:02:52
20260824_190308_2440eb29,C:/Users/User/Desktop/kiosk_project/kiosk_training_data/audio/20260824_190308_2440eb29.webm,한 번 먹어,,2026-08-24T19:03:08
20260824_190323_8589526b,C:/Users/User/Desktop/kiosk_project/kiosk_training_data/audio/20260824_190323_8589526b.webm,햄버거,,2026-08-24T19:03:23
20260824_190338_6dd12216,C:/Users/User/Desktop/kiosk_project/kiosk_training_data/audio/20260824_190338_6dd12216.webm,불고기버거,,2026-08-24T19:03:38
20260824_190405_c52ed30e,C:/Users/User/Desktop/kiosk_project/kiosk_training_data/audio/20260824_190405_c52ed30e.webm,네 개 부탁해요,,2026-08-24T19:04:05
20260824_190422_58d41c8a,C:/Users/User/Desktop/kiosk_project/kiosk_training_data/audio/20260824_190422_58d41c8a.webm,불고기버거 하나 주세요,,2026-08-24T19:04:22
20260824_191914_4b599fd8,C:/Users/User/Desktop/kiosk_project/kiosk_training_data/audio/20260824_191914_4b599fd8.webm,아이스크림 치즈 아이스크림 이거 정말 착하네. 불고기버거,,2026-08-24T19:19:14
20260824_191931_b7987e38,C:/Users/User/Desktop/kiosk_project/kiosk_training_data/audio/20260824_191931_b7987e38.webm,아이스크림 뭐 해,,2026-08-24T19:19:31
20260824_191940_c9c9cfaa,C:/Users/User/Desktop/kiosk_project/kiosk_training_data/audio/20260824_191940_c9c9cfaa.webm,그게 뭐냐고,,2026-08-24T19:19:40
20260824_191945_57cca98c,C:/Users/User/Desktop/kiosk_project/kiosk_training_data/audio/20260824_191945_57cca98c.webm,몰라요,,2026-08-24T19:19:45
20260824_192042_9484860f,C:/Users/User/Desktop/kiosk_project/kiosk_training_data/audio/20260824_192042_9484860f.webm,아이스크림 다섯 개 할게요  분해 둘 다 연결해서 이렇게 쓰면 안 돼요,,2026-08-24T19:20:42
